SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/27/2021,18:22,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/27/2021,20:14,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
RUCKER,SANTA CLARA CO.,CA,01/27/2021,23:01,PST-8,Debris Flow,,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,01/28/2021,13:14,PST-8,Strong Wind,40 kts. EG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,02/24/2021,17:50,PST-8,Strong Wind,48 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,02/24/2021,19:10,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
EAST BAY HILLS AND THE D...,EAST BAY HILLS AND THE D...,CA,02/24/2021,19:30,PST-8,Strong Wind,43 kts. MG,0,0,0.00K,0.00K
SANTA CRUZ MOUNTAINS (ZO...,SANTA CRUZ MOUNTAINS (ZO...,CA,03/10/2021,7:00,PST-8,Winter Weather,,0,0,0.00K,0.00K
SAN JOSE,SANTA CLARA CO.,CA,03/10/2021,8:08,PST-8,Flood,,0,0,0.00K,0.00K
ALUM ROCK,SANTA CLARA CO.,CA,03/10/2021,8:08,PST-8,Flood,,0,0,0.00K,0.00K
(SJC)SAN JOSE INTL A,SANTA CLARA CO.,CA,03/10/2021,12:30,PST-8,Hail,0.25 in.,0,0,0.00K,0.00K
SAN FRANCISCO BAY SHOREL...,SAN FRANCISCO BAY SHOREL...,CA,03/15/2021,5:56,PST-8,Strong Wind,35 kts. MG,0,0,0.00K,0.00K
