"","city","county","state","date","year","quarter","total_cases","new_cases","year_quarter"
"99","Manhattan","New York County","NY",2022-03-31,2022,"1",412723,139851,"2022 Q1"
"100","Manhattan","New York County","NY",2022-06-30,2022,"2",482390,69667,"2022 Q2"
"101","Manhattan","New York County","NY",2022-09-30,2022,"3",532123,49733,"2022 Q3"
"102","Manhattan","New York County","NY",2022-12-31,2022,"4",572251,40128,"2022 Q4"
"103","Manhattan","New York County","NY",2023-03-31,2023,"1",589834,17583,"2023 Q1"
"104","Manhattan","New York County","NY",2023-06-30,2023,"2",594318,4484,"2023 Q2"
"105","Manhattan","New York County","NY",2023-07-23,2023,"3",595433,1115,"2023 Q3"
"106","Philadelphia","Philadelphia County","PA",2020-03-31,2020,"1",1197,1197,"2020 Q1"
"107","Philadelphia","Philadelphia County","PA",2020-06-30,2020,"2",21600,20403,"2020 Q2"
"108","Philadelphia","Philadelphia County","PA",2020-09-30,2020,"3",32136,10536,"2020 Q3"
"109","Philadelphia","Philadelphia County","PA",2020-12-31,2020,"4",88150,56014,"2020 Q4"
"110","Philadelphia","Philadelphia County","PA",2021-03-31,2021,"1",124847,36697,"2021 Q1"
"111","Philadelphia","Philadelphia County","PA",2021-06-30,2021,"2",150037,25190,"2021 Q2"
"112","Philadelphia","Philadelphia County","PA",2021-09-30,2021,"3",174478,24441,"2021 Q3"
"113","Philadelphia","Philadelphia County","PA",2021-12-31,2021,"4",225031,50553,"2021 Q4"
"114","Philadelphia","Philadelphia County","PA",2022-03-31,2022,"1",307948,82917,"2022 Q1"
"115","Philadelphia","Philadelphia County","PA",2022-06-30,2022,"2",335643,27695,"2022 Q2"
"116","Philadelphia","Philadelphia County","PA",2022-09-30,2022,"3",363896,28253,"2022 Q3"
"117","Philadelphia","Philadelphia County","PA",2022-12-31,2022,"4",380548,16652,"2022 Q4"
"118","Philadelphia","Philadelphia County","PA",2023-03-31,2023,"1",396114,15566,"2023 Q1"
"119","Philadelphia","Philadelphia County","PA",2023-06-30,2023,"2",397762,1648,"2023 Q2"
"120","Philadelphia","Philadelphia County","PA",2023-07-23,2023,"3",397762,0,"2023 Q3"
"121","South Bay/San Jose","Santa Clara County","CA",2020-03-31,2020,"1",1364,1364,"2020 Q1"
"122","South Bay/San Jose","Santa Clara County","CA",2020-06-30,2020,"2",5571,4207,"2020 Q2"
"123","South Bay/San Jose","Santa Clara County","CA",2020-09-30,2020,"3",22182,16611,"2020 Q3"
"124","South Bay/San Jose","Santa Clara County","CA",2020-12-31,2020,"4",75133,52951,"2020 Q4"
"125","South Bay/San Jose","Santa Clara County","CA",2021-03-31,2021,"1",113805,38672,"2021 Q1"
