"year","quarter","market","unemployment_rate","pct_worked_from_home","mt","extreme_weather_num","hours_traffic","covid_cases","state_politics"
2020,3,"Chicago",0.100333333333333,0.244201207156209,0.159080229090802,10,86,54926,"democrat"
2020,4,"Chicago",0.0783333333333333,0.244201207156209,0.18876913754672,4,86,248190,"democrat"
2021,1,"Chicago",0.07,0.212361884613914,0.211182253524174,7,104,104233,"democrat"
2021,2,"Chicago",0.0653333333333333,0.212361884613914,0.220876208954423,9,104,59116,"democrat"
2021,3,"Chicago",0.0586666666666667,0.212361884613914,0.243966221035552,11,104,62575,"democrat"
2021,4,"Chicago",0.05,0.212361884613914,0.280442926306669,6,104,215780,"democrat"
2022,1,"Chicago",0.0466666666666667,0.177235568953505,0.315157855711069,13,155,292409,"democrat"
2022,2,"Chicago",0.045,0.177235568953505,0.339427012460607,7,155,111711,"democrat"
2022,3,"Chicago",0.0453333333333333,0.177235568953505,0.3593282115955,13,155,0,"democrat"
2022,4,"Chicago",0.0456666666666667,0.177235568953505,0.38972983593755,2,155,30109,"democrat"
2023,1,"Chicago",0.043,0.147039742970321,0.418388353992981,0,100,0,"democrat"
2023,2,"Chicago",0.0423333333333333,0.147039742970321,0.442292723620166,0,100,0,"democrat"
2023,3,"Chicago",0.0456666666666667,0.147039742970321,0.449583622349275,0,100,0,"democrat"
2023,4,"Chicago",0.0473333333333333,0.147039742970321,0.453346194265753,0,100,0,"democrat"
2024,1,"Chicago",0.0476666666666667,0.11355692386897,0.465172425699566,0,102,0,"democrat"
2024,2,"Chicago",0.049,0.11355692386897,0.477466475007146,0,102,0,"democrat"
2024,3,"Chicago",0.0526666666666667,0.11355692386897,0.491551642871458,0,102,0,"democrat"
2020,1,"Dallas",0.05,0.180300205941627,0.27207244702501,2,34,549,"republican"
2020,2,"Dallas",0.115,0.180300205941627,0.307022718995973,6,34,20188,"republican"
2020,3,"Dallas",0.0836666666666667,0.180300205941627,0.339463585674219,10,34,61424,"republican"
2020,4,"Dallas",0.07,0.180300205941627,0.371339626878819,2,34,109383,"republican"
2021,1,"Dallas",0.0656666666666667,0.166785722397204,0.396256417214826,8,40,99354,"republican"
2021,2,"Dallas",0.06,0.166785722397204,0.402875228389886,9,40,15519,"republican"
2021,3,"Dallas",0.0533333333333333,0.166785722397204,0.418011981790469,6,40,81053,"republican"
2021,4,"Dallas",0.0466666666666667,0.166785722397204,0.433190316563566,3,40,50276,"republican"
2022,1,"Dallas",0.041,0.146835399918245,0.445719000913636,10,56,131278,"republican"
2022,2,"Dallas",0.038,0.146835399918245,0.456022954087668,8,56,26209,"republican"
2022,3,"Dallas",0.0383333333333333,0.146835399918245,0.457553099475359,11,56,63982,"republican"
2022,4,"Dallas",0.0403333333333333,0.146835399918245,0.461830525228603,2,56,8805,"republican"
2023,1,"Dallas",0.0403333333333333,0.136538835841125,0.465593976723208,5,38,25069,"republican"
2023,2,"Dallas",0.0396666666666667,0.136538835841125,0.471457960268094,12,38,3492,"republican"
2023,3,"Dallas",0.039,0.136538835841125,0.479684608757975,12,38,0,"republican"
2023,4,"Dallas",0.039,0.136538835841125,0.496088108238117,5,38,0,"republican"
2024,1,"Dallas",0.039,0.119806432829439,0.512454329947406,1,40,0,"republican"
2024,2,"Dallas",0.04,0.119806432829439,0.529985077073562,17,40,0,"republican"
2024,3,"Dallas",0.041,0.119806432829439,0.547563274957469,10,40,0,"republican"
2020,1,"Houston",0.05,0.144777270367221,0.244325156550745,0,35,563,"republican"
2020,2,"Houston",0.115,0.144777270367221,0.274781657701172,9,35,30166,"republican"
2020,3,"Houston",0.0836666666666667,0.144777270367221,0.303939709053255,4,35,111586,"republican"
2020,4,"Houston",0.07,0.144777270367221,0.333949445308586,1,35,94358,"republican"
2021,1,"Houston",0.0656666666666667,0.13494524145761,0.371039128576236,4,40,139481,"republican"
2021,2,"Houston",0.06,0.13494524145761,0.390182890399926,8,40,26773,"republican"
2021,3,"Houston",0.0533333333333333,0.13494524145761,0.414927004987646,5,40,151409,"republican"
2021,4,"Houston",0.0466666666666667,0.13494524145761,0.44187647644315,3,40,97711,"republican"
2022,1,"Houston",0.041,0.114650733621166,0.462810175835321,4,74,363803,"republican"
2022,2,"Houston",0.038,0.114650733621166,0.481636880726308,3,74,79651,"republican"
2022,3,"Houston",0.0383333333333333,0.114650733621166,0.493290605721177,4,74,119169,"republican"
2022,4,"Houston",0.0403333333333333,0.114650733621166,0.508953384214281,3,74,12170,"republican"
2023,1,"Houston",0.0403333333333333,0.110049944174993,0.520553690714207,3,60,87397,"republican"
2023,2,"Houston",0.0396666666666667,0.110049944174993,0.527942006115616,23,60,6130,"republican"
2023,3,"Houston",0.039,0.110049944174993,0.524546551525734,13,60,0,"republican"
2023,4,"Houston",0.039,0.110049944174993,0.520699050543989,2,60,0,"republican"
2024,1,"Houston",0.039,0.094986675801966,0.524897009459755,5,66,0,"republican"
2024,2,"Houston",0.04,0.094986675801966,0.530133343123081,10,66,0,"republican"
2024,3,"Houston",0.041,0.094986675801966,0.536775541352769,2,66,0,"republican"
2020,1,"Los Angeles",0.055,0.207720162603771,0.257592461630149,1,45,6386,"democrat"
2020,2,"Los Angeles",0.152333333333333,0.207720162603771,0.25735499440839,2,45,111837,"democrat"
2020,3,"Los Angeles",0.117,0.207720162603771,0.25476916923195,8,45,154579,"democrat"
2020,4,"Los Angeles",0.091,0.207720162603771,0.25008928910672,6,45,555526,"democrat"
2021,1,"Los Angeles",0.0856666666666667,0.183900418033204,0.246723843091011,10,50,356633,"democrat"
2021,2,"Los Angeles",0.08,0.183900418033204,0.245890876439902,0,50,24562,"democrat"
2021,3,"Los Angeles",0.0696666666666667,0.183900418033204,0.268484296518927,1,50,185318,"democrat"
2021,4,"Los Angeles",0.0576666666666667,0.183900418033204,0.306629936099058,9,50,280239,"democrat"
2022,1,"Los Angeles",0.048,0.15608576018341,0.339745430392908,10,95,1028219,"democrat"
2022,2,"Los Angeles",0.041,0.15608576018341,0.365134902273906,2,95,283718,"democrat"
2022,3,"Los Angeles",0.039,0.15608576018341,0.383101187923895,2,95,284384,"democrat"
2022,4,"Los Angeles",0.043,0.15608576018341,0.404144599411559,6,95,148718,"democrat"
2023,1,"Los Angeles",0.045,0.134263472252514,0.420052777321242,17,80,84233,"democrat"
2023,2,"Los Angeles",0.0453333333333333,0.134263472252514,0.425874558220033,2,80,25084,"democrat"
2023,3,"Los Angeles",0.0483333333333333,0.134263472252514,0.420229991618075,2,80,4652,"democrat"
2023,4,"Los Angeles",0.051,0.134263472252514,0.415275558720342,9,80,0,"democrat"
2024,1,"Los Angeles",0.0526666666666667,0.10844627104234,0.417881457324308,22,88,0,"democrat"
2024,2,"Los Angeles",0.0523333333333333,0.10844627104234,0.422296744690367,2,88,0,"democrat"
2024,3,"Los Angeles",0.0526666666666667,0.10844627104234,0.427886922638294,1,88,0,"democrat"
2020,1,"Manhattan",0.042,0.391509041864651,0.0227282371187365,0,100,6539,"democrat"
2020,2,"Manhattan",0.153,0.391509041864651,0.0630380702992228,2,100,21908,"democrat"
2020,3,"Manhattan",0.111666666666667,0.391509041864651,0.0992828081360575,2,100,5114,"democrat"
2020,4,"Manhattan",0.0896666666666667,0.391509041864651,0.134338279553757,3,100,29001,"democrat"
2021,1,"Manhattan",0.0836666666666667,0.320407313111706,0.161232648863827,4,102,60801,"democrat"
2021,2,"Manhattan",0.0763333333333333,0.320407313111706,0.176743651925642,3,102,15379,"democrat"
2021,3,"Manhattan",0.067,0.320407313111706,0.21035316050997,5,102,25043,"democrat"
2021,4,"Manhattan",0.0566666666666667,0.320407313111706,0.262526153882827,1,102,109087,"democrat"
2022,1,"Manhattan",0.0486666666666667,0.227972713135372,0.307255843672734,3,117,139851,"democrat"
2022,2,"Manhattan",0.043,0.227972713135372,0.338035248639433,0,117,69667,"democrat"
2022,3,"Manhattan",0.0396666666666667,0.227972713135372,0.357226555978119,1,117,49733,"democrat"
2022,4,"Manhattan",0.0416666666666667,0.227972713135372,0.377607417541803,0,117,40128,"democrat"
2023,1,"Manhattan",0.0403333333333333,0.167537419994288,0.395999867158843,1,100,17583,"democrat"
2023,2,"Manhattan",0.0393333333333333,0.167537419994288,0.407904732188302,0,100,4484,"democrat"
2023,3,"Manhattan",0.0426666666666667,0.167537419994288,0.410921369152652,1,100,1115,"democrat"
2023,4,"Manhattan",0.046,0.167537419994288,0.417737866314517,1,100,0,"democrat"
2024,1,"Manhattan",0.044,0.085769255629657,0.43455499488913,4,102,0,"democrat"
2024,2,"Manhattan",0.042,0.085769255629657,0.452729507250259,2,102,0,"democrat"
2024,3,"Manhattan",0.0436666666666667,0.085769255629657,0.472451742990793,0,102,0,"democrat"
2020,1,"Philadelphia",0.049,0.244320528953281,0.168867285890789,0,94,1197,"republican"
2020,2,"Philadelphia",0.134333333333333,0.244320528953281,0.193355212977335,3,94,20403,"republican"
2020,3,"Philadelphia",0.095,0.244320528953281,0.21577907452136,6,94,10536,"republican"
2020,4,"Philadelphia",0.0786666666666667,0.244320528953281,0.237204239414162,2,94,56014,"republican"
2021,1,"Philadelphia",0.071,0.213456571359923,0.254011446126447,8,90,36697,"republican"
2021,2,"Philadelphia",0.0633333333333333,0.213456571359923,0.265862594943511,9,90,25190,"republican"
2021,3,"Philadelphia",0.0556666666666667,0.213456571359923,0.285537520676567,12,90,24441,"republican"
2021,4,"Philadelphia",0.047,0.213456571359923,0.311232962699419,2,90,50553,"republican"
2022,1,"Philadelphia",0.0423333333333333,0.176153561022071,0.329675365667888,8,114,82917,"republican"
2022,2,"Philadelphia",0.041,0.176153561022071,0.340291684495211,2,114,27695,"republican"
2022,3,"Philadelphia",0.04,0.176153561022071,0.347669031872918,2,114,28253,"republican"
2022,4,"Philadelphia",0.0386666666666667,0.176153561022071,0.35649111305379,5,114,16652,"republican"
2023,1,"Philadelphia",0.0366666666666667,0.148509129801016,0.364854993372066,0,80,15566,"republican"
2023,2,"Philadelphia",0.033,0.148509129801016,0.371547607851666,6,80,1648,"republican"
2023,3,"Philadelphia",0.0326666666666667,0.148509129801016,0.370540255255278,5,80,0,"republican"
2023,4,"Philadelphia",0.034,0.148509129801016,0.37036287406214,4,80,0,"republican"
2024,1,"Philadelphia",0.034,0.114425645835411,0.373067534556864,11,77,0,"republican"
2024,2,"Philadelphia",0.034,0.114425645835411,0.375764226473157,5,77,0,"republican"
2024,3,"Philadelphia",0.034,0.114425645835411,0.378845188833327,7,77,0,"republican"
2020,1,"San Francisco",0.055,0.496189239280397,0.0488729901123072,3,47,704,"democrat"
2020,2,"San Francisco",0.152333333333333,0.496189239280397,0.0794430607852709,5,47,3336,"democrat"
2020,3,"San Francisco",0.117,0.496189239280397,0.106457921151854,11,47,7422,"democrat"
2020,4,"San Francisco",0.091,0.496189239280397,0.130723974933757,8,47,13244,"democrat"
2021,1,"San Francisco",0.0856666666666667,0.408669596973831,0.1453594673148,12,50,10574,"democrat"
2021,2,"San Francisco",0.08,0.408669596973831,0.154012474015659,4,50,1894,"democrat"
2021,3,"San Francisco",0.0696666666666667,0.408669596973831,0.182394902686856,1,50,13212,"democrat"
2021,4,"San Francisco",0.0576666666666667,0.408669596973831,0.224831191067602,1,50,18280,"democrat"
2022,1,"San Francisco",0.048,0.308787066835093,0.264076916196327,1,97,56386,"democrat"
2022,2,"San Francisco",0.041,0.308787066835093,0.293819242049459,3,97,34979,"democrat"
2022,3,"San Francisco",0.039,0.308787066835093,0.313061583502407,5,97,18447,"democrat"
